X,Y,Z
10.8278,-4.54431e-15,74.2143
-4.33302,-4.58475e-15,74.8747
-19.3082,-4.43609e-15,72.4468
-33.476,-4.10521e-15,67.0431
-46.2621,-3.60688e-15,58.9048
-57.1459,-2.96157e-15,48.3661
-3.250239999999999,145.000015,-74.62380000000002
-4.33302,145.000015,74.87470000000002
0.008349677419357337,-4.638180645161371e-18,0.07574829032257732
0.008349677419357337,290.0,0.07574829032257732
